prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alex_Valderrama posee la ciudadanía del país Ecuador
Anibal_Salazar posee la ciudadanía del país Australia
Diego_Castillo posee la ciudadanía del país Cuba

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Anibal_Salazar?

",Australia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Aldo_Vera posee la ciudadanía del país Uruguay
Olenka_Fuschich posee la ciudadanía del país Argentina
Cristian_Badilla posee la ciudadanía del país Colombia

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Aldo_Vera?

",Uruguay
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alfonso_Montemayor posee la ciudadanía del país Peru
Enar_Bolaños posee la ciudadanía del país Mexico
Félix_Rodríguez posee la ciudadanía del país Costa_Rica

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Alfonso_Montemayor?

",Peru
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Emmanuel posee la ciudadanía del país Uruguay
Anaysi_Hernández posee la ciudadanía del país Peru
Gabriela_Guillén posee la ciudadanía del país Panama

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Gabriela_Guillén?

",Panama
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
José_Franco posee la ciudadanía del país Austria
Gilberto_Machado posee la ciudadanía del país Argentina
José_Ardón posee la ciudadanía del país Uruguay

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía José_Ardón?

",Uruguay
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Policarpo_Bonilla posee la ciudadanía del país Canada
Raúl_Cárdenas posee la ciudadanía del país Argentina
Mauricio_Fúnez posee la ciudadanía del país Austria

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Policarpo_Bonilla?

",Canada
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Tránsito_Montepeque posee la ciudadanía del país Colombia
Danilo_Montero posee la ciudadanía del país Panama
Mario_Cuba posee la ciudadanía del país Chile

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Mario_Cuba?

",Chile
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
José_Pallais posee la ciudadanía del país Guatemala
Samuel_Wilson posee la ciudadanía del país Paraguay
Óscar_Duarte posee la ciudadanía del país Panama

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Samuel_Wilson?

",Paraguay
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Verónica_Chávez posee la ciudadanía del país Guatemala
Wilson_Palacios posee la ciudadanía del país Uruguay
Andi_Baiz posee la ciudadanía del país Canada

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Andi_Baiz?

",Canada
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Lucas_Barrios posee la ciudadanía del país Canada
Eusebio_Díaz posee la ciudadanía del país Honduras
Mayín_Correa posee la ciudadanía del país Chile

--- Pregunta ---
Pregunta: ¿De qué país posee la ciudadanía Eusebio_Díaz?

",Honduras
