prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlota_Pérez se desempeña como Fotoperiodista
Marcos_Cáceres se desempeña como Empresario
José_Offerman se desempeña como Jurista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Marcos_Cáceres?

",Empresario
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Roberto_Manrique se desempeña como Fotografo
Miguel_Montaño se desempeña como Estudiante
Edgardo_Alfonzo se desempeña como Politologo

--- Pregunta ---
Pregunta: ¿En qué se desempeña Edgardo_Alfonzo?

",Politologo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Eliseo_Payán se desempeña como Oficial_Militar
Wilfrido_Báez se desempeña como Piraguista
Wilfredo_Alvarado se desempeña como Militar

--- Pregunta ---
Pregunta: ¿En qué se desempeña Wilfredo_Alvarado?

",Militar
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Violetta_Quesada se desempeña como Matematico
Miguel_Bonnin se desempeña como Vallista
Kurt_Pahlen se desempeña como Bailarin

--- Pregunta ---
Pregunta: ¿En qué se desempeña Violetta_Quesada?

",Matematico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Luis_Alvarenga se desempeña como Herpetologo
Victor_Aquino se desempeña como Periodista
Raquel_Zelaya se desempeña como Ajedrecista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Raquel_Zelaya?

",Ajedrecista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gabriel_Peralta se desempeña como Esquiador_Alpino
Mario_Testino se desempeña como Periodista_Freelance
Lloyd_Labeach se desempeña como Cacique

--- Pregunta ---
Pregunta: ¿En qué se desempeña Gabriel_Peralta?

",Esquiador_Alpino
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Eddie_Castro se desempeña como Esgrimista
Florencio_Amarilla se desempeña como Emprendedor
Alex_Zisis se desempeña como Fondista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Florencio_Amarilla?

",Emprendedor
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Stalin_Quiterio se desempeña como Agricultor
Virgilio_Galindo se desempeña como Gerente
Fabricio_Coloccini se desempeña como Camarero

--- Pregunta ---
Pregunta: ¿En qué se desempeña Stalin_Quiterio?

",Agricultor
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Aneury_Rodríguez se desempeña como Ensayista
Bartolomé_Mitre se desempeña como Tipografo
Edmundo_Mellid se desempeña como Informatico_Teorico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Edmundo_Mellid?

",Informatico_Teorico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ronny_Santos se desempeña como Modelo
Compay_Segundo se desempeña como Ingeniero_Agronomo
Mario_Chávez se desempeña como Cantante

--- Pregunta ---
Pregunta: ¿En qué se desempeña Compay_Segundo?

",Ingeniero_Agronomo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Jason_Zárate se desempeña como Atleta
Jason_Richardson se desempeña como Politologo
Hugo_Brizuela se desempeña como Trabajador_Domestico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Jason_Zárate?

",Atleta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ana_Marcelo se desempeña como Inventor
Santiago_Irala se desempeña como Taekwondista
Pedro_Féliz se desempeña como Jurista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Santiago_Irala?

",Taekwondista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
James_Hudson se desempeña como Percusionista
Xavier_Carreras se desempeña como Ensayista
Saturnino_Cerrato se desempeña como Escritor_Tecnico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Xavier_Carreras?

",Ensayista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Dorothea_Wilson se desempeña como Supermodelo
Carlos_Bonet se desempeña como Escultor
Carlos_Olivier se desempeña como Medico

--- Pregunta ---
Pregunta: ¿En qué se desempeña Dorothea_Wilson?

",Supermodelo
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gloria_Jiménez se desempeña como Catedratico
Cara_Buono se desempeña como Activista_Lgbti
Gerónima_Montealegre se desempeña como Balonmanista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Gerónima_Montealegre?

",Balonmanista
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Óscar_Mcfarlane se desempeña como Estudiante
Nahúm_Espinoza se desempeña como Artista_Visual
Evana_Daaboul se desempeña como Ensayista

--- Pregunta ---
Pregunta: ¿En qué se desempeña Óscar_Mcfarlane?

",Estudiante
