prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Juan_Pérez nació en el año 1859
Héctor_Croxatto nació en el año 1948
Mariano_Gálvez nació en el año 2002

--- Pregunta ---
Pregunta: ¿En qué año nació Juan_Pérez?

",1859
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Rony_Padilla nació en el año 1893
Rodolfo_Abularach nació en el año 1930
Conchita_Cintrón nació en el año 1956

--- Pregunta ---
Pregunta: ¿En qué año nació Conchita_Cintrón?

",1956
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Emilio_Umanzor nació en el año 1774
Iván_Hurtado nació en el año 1794
Alí_Primera nació en el año 2005

--- Pregunta ---
Pregunta: ¿En qué año nació Iván_Hurtado?

",1794
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Eustoquio_Gómez nació en el año 1989
Galo_Roggiero nació en el año 1985
Kristian_Guzman nació en el año 1965

--- Pregunta ---
Pregunta: ¿En qué año nació Kristian_Guzman?

",1965
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Gamarra nació en el año 2006
Daniel_Dhers nació en el año 1838
Julian_Mcmahon nació en el año 1828

--- Pregunta ---
Pregunta: ¿En qué año nació Daniel_Dhers?

",1838
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Vladimir_Gessen nació en el año 1881
Austin_Berry nació en el año 1959
Ricardo_Wolf nació en el año 1921

--- Pregunta ---
Pregunta: ¿En qué año nació Vladimir_Gessen?

",1881
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Rubén_Quijada nació en el año 1788
Javier_Sotomayor nació en el año 1947
Alberto_Chaigneau nació en el año 1846

--- Pregunta ---
Pregunta: ¿En qué año nació Alberto_Chaigneau?

",1846
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Samuel_Aguilar nació en el año 1814
Christopher_Cragwell nació en el año 1983
Jorman_Aguilar nació en el año 1849

--- Pregunta ---
Pregunta: ¿En qué año nació Samuel_Aguilar?

",1814
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Fulgencio_Berdugo nació en el año 1969
Pablo_Escobar nació en el año 1899
Cristina_Montt nació en el año 2007

--- Pregunta ---
Pregunta: ¿En qué año nació Fulgencio_Berdugo?

",1969
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Blas_López nació en el año 1957
Ultiminio_Ramos nació en el año 1860
Alberto_Lois nació en el año 1945

--- Pregunta ---
Pregunta: ¿En qué año nació Alberto_Lois?

",1945
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Augusto_Barrera nació en el año 1882
Gil_Cordovés nació en el año 1943
Mariana_Vega nació en el año 2005

--- Pregunta ---
Pregunta: ¿En qué año nació Gil_Cordovés?

",1943
