prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Andújar_Cedeño falleció en el año 1840
Carlos_Mendieta falleció en el año 1941
Robert_Frucht falleció en el año 2008

--- Pregunta ---
Pregunta: ¿En qué año falleció Carlos_Mendieta?

",1941
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Dalmiro_Finol falleció en el año 1868
Rafael_Barrett falleció en el año 2018
Honorino_Landa falleció en el año 1906

--- Pregunta ---
Pregunta: ¿En qué año falleció Honorino_Landa?

",1906
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Eulogio_Cantillo falleció en el año 1908
Vicente_Rocafuerte falleció en el año 1819
Alejandro_Reyes falleció en el año 1878

--- Pregunta ---
Pregunta: ¿En qué año falleció Vicente_Rocafuerte?

",1819
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Garnett falleció en el año 1922
Leongino_Unzaim falleció en el año 1973
Getulio_Agostini falleció en el año 1909

--- Pregunta ---
Pregunta: ¿En qué año falleció Getulio_Agostini?

",1909
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Adán_Gordón falleció en el año 1830
Juan_Cotto falleció en el año 1953
Oscar_Murúa falleció en el año 1966

--- Pregunta ---
Pregunta: ¿En qué año falleció Juan_Cotto?

",1953
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Oliver_Welden falleció en el año 1831
Rosario_Castellanos falleció en el año 1916
Josefina_Padilla falleció en el año 1991

--- Pregunta ---
Pregunta: ¿En qué año falleció Rosario_Castellanos?

",1916
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Helder_Torres falleció en el año 1997
Julio_Osorio falleció en el año 1997
Arturo_Prat falleció en el año 1880

--- Pregunta ---
Pregunta: ¿En qué año falleció Julio_Osorio?

",1997
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ana_Mendieta falleció en el año 1933
José_Jhonson falleció en el año 1972
Fulgencio_Berdugo falleció en el año 1821

--- Pregunta ---
Pregunta: ¿En qué año falleció Fulgencio_Berdugo?

",1821
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
José_Sulantay falleció en el año 1923
Miguel_Brascó falleció en el año 2016
Danilo_Žerjal falleció en el año 2001

--- Pregunta ---
Pregunta: ¿En qué año falleció José_Sulantay?

",1923
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Manuel_Scorza falleció en el año 1967
Jorge_Cuesta falleció en el año 1850
Justo_Abaunza falleció en el año 1999

--- Pregunta ---
Pregunta: ¿En qué año falleció Manuel_Scorza?

",1967
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Fabián_Caballero falleció en el año 1854
Eduardo_Serrano falleció en el año 1964
Gonzalo_Lira falleció en el año 1885

--- Pregunta ---
Pregunta: ¿En qué año falleció Gonzalo_Lira?

",1885
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Pipí_Franco falleció en el año 1932
Bernard_Dreyfus falleció en el año 1996
Arturo_Chaires falleció en el año 1871

--- Pregunta ---
Pregunta: ¿En qué año falleció Bernard_Dreyfus?

",1996
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Amadeo_Ortega falleció en el año 1896
Antonio_Estévez falleció en el año 2008
Candelario_Duvergel falleció en el año 1950

--- Pregunta ---
Pregunta: ¿En qué año falleció Antonio_Estévez?

",2008
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Rodolfo_Caicedo falleció en el año 1870
Wenceslao_Figuereo falleció en el año 1879
Sergio_Méndez falleció en el año 1894

--- Pregunta ---
Pregunta: ¿En qué año falleció Rodolfo_Caicedo?

",1870
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ibrahim_Ferrer falleció en el año 1937
Adolfo_Reginato falleció en el año 1871
Rafael_Urdaneta falleció en el año 2019

--- Pregunta ---
Pregunta: ¿En qué año falleció Ibrahim_Ferrer?

",1937
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Marcos_Coll falleció en el año 1966
Federico_Kirbus falleció en el año 1871
Luis_Corvalán falleció en el año 1819

--- Pregunta ---
Pregunta: ¿En qué año falleció Marcos_Coll?

",1966
