prompt,respuesta
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
María_Barrantes nació en Guatemala
El_Chombo nació en Honduras
Marcos_Acosta nació en Argentina

--- Pregunta ---
Pregunta: ¿En qué país nació Marcos_Acosta?

",Argentina
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Sara_Schaerer nació en Panama
Nicolle_Garay nació en Peru
Sayri_Túpac nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Sayri_Túpac?

",Panama
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Edgar_Valencia nació en Ecuador
Pilar_Aguirre nació en Peru
Johanna_Pineda nació en Nicaragua

--- Pregunta ---
Pregunta: ¿En qué país nació Edgar_Valencia?

",Ecuador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Edgar_Valencia nació en Ecuador
Isabel_Urcuyo nació en Panama
Salomón_Nazar nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Salomón_Nazar?

",Panama
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Teodora_Vázquez nació en Paraguay
Saúl_Phillips nació en Ecuador
Ángel_Segura nació en Paraguay

--- Pregunta ---
Pregunta: ¿En qué país nació Saúl_Phillips?

",Ecuador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ingrid_González nació en Liberia
Marcial_Ávalos nació en Argentina
Geovanny_Castro nació en Liberia

--- Pregunta ---
Pregunta: ¿En qué país nació Geovanny_Castro?

",Liberia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ricardo_Vega nació en Argentina
Óscar_Vargas nació en Mexico
Andrey_Campos nació en Colombia

--- Pregunta ---
Pregunta: ¿En qué país nació Ricardo_Vega?

",Argentina
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Sohvi_Rodriguez nació en Honduras
Enrique_Ortez nació en Armenia
Marlon_Samayoa nació en Chile

--- Pregunta ---
Pregunta: ¿En qué país nació Enrique_Ortez?

",Armenia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alexander_Madrigal nació en Nicaragua
Fernando_Patterson nació en Argentina
Armando_Arteaga nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Fernando_Patterson?

",Argentina
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Javier_Stanziola nació en Costa_Rica
Natasha_Jiménez nació en Liberia
Ernesto_Cardenal nació en Mexico

--- Pregunta ---
Pregunta: ¿En qué país nació Natasha_Jiménez?

",Liberia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gabriela_Alemán nació en Liberia
Antonio_Cabrera nació en El_Salvador
Juan_Domecq nació en Argentina

--- Pregunta ---
Pregunta: ¿En qué país nació Juan_Domecq?

",Argentina
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Javier_Stanziola nació en Costa_Rica
Melanio_Báez nació en Panama
Rafael_Cañizares nació en El_Salvador

--- Pregunta ---
Pregunta: ¿En qué país nació Rafael_Cañizares?

",El_Salvador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Rafael_Dick nació en Cuba
Cecilia_Gayle nació en Paraguay
Carlo_Alban nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Carlo_Alban?

",Panama
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Luis_Russell nació en Paraguay
David_Martínez nació en Peru
Nery_Velásquez nació en Colombia

--- Pregunta ---
Pregunta: ¿En qué país nació David_Martínez?

",Peru
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Tulio_Quiñones nació en Ecuador
Francisco_Bramón nació en Panama
Jorge_Tejeira nació en Colombia

--- Pregunta ---
Pregunta: ¿En qué país nació Tulio_Quiñones?

",Ecuador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Gabriela_Alemán nació en Liberia
Robinson_Guevara nació en Peru
Marvin_Brown nació en Argentina

--- Pregunta ---
Pregunta: ¿En qué país nació Gabriela_Alemán?

",Liberia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Aarón_Bardales nació en Chile
Edelmiro_Arévalo nació en Panama
Oswar_Gramajo nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Edelmiro_Arévalo?

",Panama
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ricardo_Vega nació en Argentina
Georgina_Pontaza nació en Argentina
Gustavo_Miño nació en Guatemala

--- Pregunta ---
Pregunta: ¿En qué país nació Georgina_Pontaza?

",Argentina
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alejandro_Sequeira nació en Mexico
Valentín_Estrada nació en Colombia
Óscar_Vargas nació en Mexico

--- Pregunta ---
Pregunta: ¿En qué país nació Valentín_Estrada?

",Colombia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Ricardo_González nació en Nicaragua
Nery_Velásquez nació en Colombia
Galvarino_Apablaza nació en Cuba

--- Pregunta ---
Pregunta: ¿En qué país nació Galvarino_Apablaza?

",Cuba
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Alberto_Pizango nació en Paraguay
Cruz_Hernández nació en Cuba
Fanny_Rodríguez nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Cruz_Hernández?

",Cuba
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Diego_López nació en Mexico
Otto_Romero nació en Paraguay
Clifford_Laing nació en Colombia

--- Pregunta ---
Pregunta: ¿En qué país nació Clifford_Laing?

",Colombia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Juana_Bordas nació en Chile
Vilma_Faingezicht nació en Armenia
Rafael_Cañizares nació en El_Salvador

--- Pregunta ---
Pregunta: ¿En qué país nació Rafael_Cañizares?

",El_Salvador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Oswar_Gramajo nació en Panama
Elmer_Montoya nació en Mexico
Mauricio_Fúnez nació en Mexico

--- Pregunta ---
Pregunta: ¿En qué país nació Oswar_Gramajo?

",Panama
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Rafael_Ayala nació en Colombia
Saturnino_Osorio nació en Armenia
Wendy_Salgado nació en Panama

--- Pregunta ---
Pregunta: ¿En qué país nació Saturnino_Osorio?

",Armenia
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Óscar_Varona nació en El_Salvador
Marvin_Brown nació en Argentina
Eric_Herrera nació en Mexico

--- Pregunta ---
Pregunta: ¿En qué país nació Eric_Herrera?

",Mexico
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlos_Camacho nació en Ecuador
Jessica_Scheel nació en Cuba
Roberto_Gayón nació en Ecuador

--- Pregunta ---
Pregunta: ¿En qué país nació Roberto_Gayón?

",Ecuador
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Juan_Domecq nació en Argentina
César_Serna nació en Mexico
Marlon_Samayoa nació en Chile

--- Pregunta ---
Pregunta: ¿En qué país nació Juan_Domecq?

",Argentina
"Responde la pregunta basándote en el siguiente contexto. Mantén la respuesta breve.

--- Contexto ---
Carlo_Alban nació en Panama
Armando_González nació en Costa_Rica
Aquilino_Boyd nació en Armenia

--- Pregunta ---
Pregunta: ¿En qué país nació Armando_González?

",Costa_Rica
